route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,rating ,frequency ,ridership ,completion_time ,ontime_rate ,bunching
2444_900,2444,900,Parramatta Free Shuttle,Sydney Buses Network,700,00B5EF,FFFFFF,5,7,16904,36,90,1
2444_901,2444,901,Holsworthy to Liverpool via Wattle Grove,Sydney Buses Network,700,00B5EF,FFFFFF,5,8,47948,31,91,1
2444_902,2444,902,Holsworthy to Liverpool via Moorebank,Sydney Buses Network,700,00B5EF,FFFFFF,5,7,47767,38,95,1
2444_902X,2444,902X,Sandy Point to Holsworthy via Voyager Point,Sydney Buses Network,700,00B5EF,FFFFFF,5,7,12044,34,94,2
2444_903,2444,903,Liverpool to Chipping Norton (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF,5,7,14771,30,96,2
2444_904,2444,904,Fairfield to Liverpool,Sydney Buses Network,700,00B5EF,FFFFFF,5,8,18277,37,96,4
2444_905,2444,905,Bankstown to Fairfield,Sydney Buses Network,700,00B5EF,FFFFFF,5,8,22786,37,93,5
2444_906,2444,906,Fairfield to Parramatta,Sydney Buses Network,700,00B5EF,FFFFFF,5,8,33684,31,94,3
2444_907,2444,907,Bankstown to Parramatta via Bass Hill,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,19547,33,96,2
2444_908,2444,908,Merrylands to Bankstown via Birrong & Auburn,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,40833,38,96,3
2444_909,2444,909,Bankstown to Parramatta via Birrong & Auburn,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,29873,36,91,4
2444_911,2444,911,Auburn to Bankstown via Georges Hall,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,36454,32,98,1
2444_913,2444,913,Bankstown to Strathfield,Sydney Buses Network,700,00B5EF,FFFFFF,5,7,45409,40,97,2
2444_914,2444,914,Greenacre to Strathfield,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,22330,33,98,5
2444_915,2444,915,Lidcombe to U Sydney Lidcombe Cmps (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF,5,7,31649,38,95,1
2444_916,2444,916,Chester Hill to Guildford,Sydney Buses Network,700,00B5EF,FFFFFF,5,7,43788,41,93,4
2444_925,2444,925,East Hills to Lidcombe via Bankstown,Sydney Buses Network,700,00B5EF,FFFFFF,5,8,29469,38,92,2
2444_M90,2444,M90,Burwood to Liverpool,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,16560,42,94,3
2444_M91,2444,M91,Hurstville to Parramatta via Padstow & Chester Hill,Sydney Buses Network,700,00B5EF,FFFFFF,5,6,46501,34,93,3
2444_N30,2444,N30,Macarthur to City Town Hall,Sydney Buses Network,700,00B5EF,FFFFFF,4,7,28201,31,82,2
2444_N40,2444,N40,East Hills to City Town Hall,Sydney Buses Network,700,00B5EF,FFFFFF,4,6,23600,31,82,3
2444_NW1,2444,NW1,Tallawong to Chatswood ,Sydney Buses Network,700,00B5EF,FFFFFF,4,8,15374,40,82,4
2444_NW2,2444,NW2,Tallawong to Chatswood (Limited Stops),Sydney Buses Network,700,00B5EF,FFFFFF,4,6,14349,31,83,5
2444_S1,2444,S1,Cabramatta to Lansvale (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF,4,7,24957,45,81,2
2452_32,2452,32,Spencer to Gosford,Central Coast Buses Network,700,00B5EF,FFFFFF,4,6,25065,45,81,3
2452_32/4,2452,32/4,Mangrove Mountain to Gosford via Kariong,Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,19641,33,88,5
2452_33,2452,33,Somersby to Gosford via Industrial Estate & West Gosford,Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,35903,35,89,4
2452_33/4,2452,33/4,Gosford to Somersby industrial Estate and Kariong (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,30568,39,85,2
2452_34,2452,34,Gosford to Kariong (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,16437,43,88,2
2452_34/2,2452,34/2,Gosford to Mangrove Mountain via Kariong,Central Coast Buses Network,700,00B5EF,FFFFFF,4,6,22601,35,82,5
2452_36,2452,36,Gosford to Westfield Tuggerah via Niagara Park,Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,29821,34,84,5
2452_37,2452,37,Tuggerah to Gosford via Lisarow,Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,32162,34,87,1
2452_37/8,2452,37/8,Ourimbah to Gosford via Wyoming,Central Coast Buses Network,700,00B5EF,FFFFFF,4,6,42088,40,87,4
2452_38,2452,38,Gosford to Wyoming (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,7,14978,31,87,4
2452_50,2452,50,WoyWoy to Umina via Ocean Beach Rd (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,6,22411,43,83,2
2452_50/3,2452,50/3,Woy Woy to Umina & Booker Bay (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,15134,38,85,3
2452_53,2452,53,Woy Woy to Booker Bay (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,6,29328,40,84,3
2452_5364,2452,5364,Woy Woy to Kincumber via Ettalong & Empire Bay,Central Coast Buses Network,700,00B5EF,FFFFFF,4,7,18386,33,88,2
2452_54,2452,54,WoyWoy to Pearl Beach & Patonga via Umina Beach (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,4,8,46356,41,84,2
2452_54/0,2452,54/0,Umina Beach to Woy Woy via Pearl Beach,Central Coast Buses Network,700,00B5EF,FFFFFF,3,4,47020,57,73,6
2452_55,2452,55,Ettalong Beach to Gosford via Woy Woy and Umina Beach,Central Coast Buses Network,700,00B5EF,FFFFFF,3,4,15407,50,79,15
2452_55/3,2452,55/3,Woy Woy to Ettalong & Umina Beach (Loop Service),Central Coast Buses Network,700,00B5EF,FFFFFF,3,5,15719,50,79,14
